datetime,ms,tempC,humPct,press_hPa,gas_kOhm,alt_m
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
BOOT-000 00:00:00,0,0.00,0.0,0.00,0.0,0.0
